abbreviation,name,electoral_votes,starting_lean,lean_category,priority_issues,region,special_notes
AL,Alabama,9,-13,Safe Red,"Economy,Social",South,
AK,Alaska,3,-11,Safe Red,"Energy,Environment",West,
AZ,Arizona,11,0,Swing,"Immigration,Economy",Southwest,
AR,Arkansas,6,-12,Safe Red,"Economy,Education",South,
CA,California,54,12,Safe Blue,"Environment,Technology,Healthcare",West,
CO,Colorado,10,7,Lean Blue,"Environment,Education",West,
CT,Connecticut,7,11,Safe Blue,"Healthcare,Economy",Northeast,
DE,Delaware,3,11,Safe Blue,"Economy,Healthcare",Northeast,
FL,Florida,30,-6,Lean Red,"Healthcare,Economy,Immigration",South,
GA,Georgia,16,1,Swing,"Economy,Social",South,
HI,Hawaii,4,14,Safe Blue,"Environment,Economy",West,
ID,Idaho,4,-12,Safe Red,"Economy,Environment",West,
IL,Illinois,19,10,Safe Blue,"Economy,Healthcare",Midwest,
IN,Indiana,11,-10,Safe Red,"Economy,Manufacturing",Midwest,
IA,Iowa,6,-6,Lean Red,"Economy,Agriculture",Midwest,
KS,Kansas,6,-10,Safe Red,"Economy,Agriculture",Midwest,
KY,Kentucky,8,-12,Safe Red,"Economy,Healthcare",South,
LA,Louisiana,8,-10,Safe Red,"Energy,Economy",South,
ME,Maine,4,6,Lean Blue,"Economy,Healthcare",Northeast,Split electoral votes (2 statewide + 1 per district)
MD,Maryland,10,12,Safe Blue,"Healthcare,Education",Northeast,
MA,Massachusetts,11,13,Safe Blue,"Healthcare,Education,Technology",Northeast,
MI,Michigan,15,1,Swing,"Economy,Manufacturing",Midwest,
MN,Minnesota,10,5,Lean Blue,"Healthcare,Economy",Midwest,
MS,Mississippi,6,-14,Safe Red,"Economy,Education",South,
MO,Missouri,10,-10,Safe Red,"Economy,Healthcare",Midwest,
MT,Montana,4,-8,Lean Red,"Environment,Economy",West,
NE,Nebraska,5,-11,Safe Red,"Economy,Agriculture",Midwest,Split electoral votes (2 statewide + 1 per district)
NV,Nevada,6,2,Swing,"Economy,Immigration",West,
NH,New Hampshire,4,5,Lean Blue,"Economy,Healthcare",Northeast,
NJ,New Jersey,14,10,Safe Blue,"Healthcare,Economy",Northeast,
NM,New Mexico,5,6,Lean Blue,"Immigration,Energy",Southwest,
NY,New York,28,11,Safe Blue,"Healthcare,Economy,Technology",Northeast,
NC,North Carolina,16,-2,Swing,"Economy,Healthcare",South,
ND,North Dakota,3,-12,Safe Red,"Energy,Economy",Midwest,
OH,Ohio,17,-7,Lean Red,"Economy,Manufacturing",Midwest,
OK,Oklahoma,7,-12,Safe Red,"Energy,Economy",South,
OR,Oregon,8,10,Safe Blue,"Environment,Technology",West,
PA,Pennsylvania,19,0,Swing,"Economy,Healthcare,Manufacturing",Northeast,
RI,Rhode Island,4,12,Safe Blue,"Healthcare,Economy",Northeast,
SC,South Carolina,9,-10,Safe Red,"Economy,Military",South,
SD,South Dakota,3,-11,Safe Red,"Economy,Agriculture",Midwest,
TN,Tennessee,11,-11,Safe Red,"Economy,Healthcare",South,
TX,Texas,40,-10,Safe Red,"Economy,Energy,Immigration",South,
UT,Utah,6,-11,Safe Red,"Economy,Social",West,
VT,Vermont,3,15,Safe Blue,"Healthcare,Environment",Northeast,
VA,Virginia,13,6,Lean Blue,"Military,Technology,Economy",South,
WA,Washington,12,11,Safe Blue,"Technology,Environment",West,
WV,West Virginia,4,-15,Safe Red,"Energy,Economy",South,
WI,Wisconsin,10,0,Swing,"Economy,Manufacturing",Midwest,
WY,Wyoming,3,-14,Safe Red,"Energy,Environment",West,
DC,District of Columbia,3,15,Safe Blue,"Government,Social",Northeast,
